name,lat,lng
โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) 4,13.7872619,100.905156
โรงเรียนนวมินทราชินูทิศ สตรีวิทยา 2,13.90171137,100.7410799
โรงเรียนพิทยาลงกรณ์พิทยาคม,13.52826452,100.4180631
โรงเรียนนวลนรดิศวิทยาคม รัช6งคลาภิเษก,13.64560457,100.3460319
โรงเรียนเทพศิรินทร์ร่มเกล้า,13.74622186,100.7578991
โรงเรียนพรตพิทยพยัต,13.72596875,100.7853452
โรงเรียนทวีธาภิเศก บางขุนเทียน,13.58212307,100.4197964
โรงเรียนมัธยมวัดหนองแขม(สหราษฎร์บูรณะ),13.67545545,100.3392213
โรงเรียนมัธยมวัดหนองจอก,13.85428687,100.8602938
โรงเรียนนวมินทราชินูทิศ เบญจมราชาลัย,13.89087324,100.6936842
โรงเรียนศรีพฤฒา,13.74478173,100.6950698
โรงเรียนนวมินทราชินูทิศสตรีวิทยา พุทธมณฑ,13.77356744,100.3555657
โรงเรียนทีปังกรวิทยาพัฒน์ (ทวีวัฒนา),13.75047129,100.3488205
โรงเรียนศึกษานารีวิทยา,13.63357865,100.3647553
โรงเรียนสตรีเศรษฐบุตรบำเพ็ญ,13.81388594,100.733341
โรงเรียนไทยรัฐวิทยา 75 เฉลิมพระเกียรติ,13.89136034,100.6462424
โรงเรียนรัตนโกสินทร์สมโภช บางเขน,13.87119593,100.6447401
โรงเรียนมัธยมวัดบึงทองหลาง,13.79431139,100.6257955
โรงเรียนราชดำริ,13.68226055,100.6792486
โรงเรียนวิมุตยารามพิทยากร,13.80994415,100.5133756
โรงเรียนพระโขนงพิทยาลัย,13.69458712,100.5906711
โรงเรียนนนทรีวิทยา,13.7067075,100.5466709
โรงเรียนโพธิสารพิทยากร,13.76788382,100.4271249
โรงเรียนวัดพุทธบูชา,13.65086675,100.4747347
โรงเรียนรัตนโกสินทร์สมโภชบางขุนเทียน,13.64631348,100.4200038
โรงเรียนเศรษฐบุตรบำเพ็ญ,13.81441018,100.7140331
โรงเรียนฤทธิยะวรรณาลัย,13.90649016,100.6193862
โรงเรียนนวมินทราชูทิศ กรุงเทพมหานคร,13.82924304,100.6506979
โรงเรียนลาดปลาเค้าพิทยาคม,13.84582957,100.6043862
โรงเรียนสตรีวิทยา 2,13.82579968,100.6167085
โรงเรียนเตรียมอุดมศึกษาน้อมเกล้า,13.78479081,100.6918531
โรงเรียนนวมินทราชินูทิศ เตรียมอุดมศึกษาน,13.75557448,100.6804636
โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี),13.76737288,100.6151965
โรงเรียนพระยาประเสริฐสุนทราศรัย,13.76456351,100.6094068
โรงเรียนเทพลีลา,13.75867694,100.6152662
โรงเรียนเตรียมอุดมศึกษาพัฒนาการ,13.7294182,100.6466685
โรงเรียนบ้านหนองบอน (นัยนานนท์อนุสรณ์),13.67706697,100.6585705
โรงเรียนวัดมหาบุศย์ (พิทักษ์ถาวรคุณ),13.71389634,100.6071749
โรงเรียนดอนเมืองจาตุรจินดา,13.91489084,100.592767
โรงเรียนสารวิทยา,13.85112103,100.584385
โรงเรียนหอวัง,13.8196361,100.55929
โรงเรียนสุรศักดิ์มนตรี,13.77609026,100.5556715
โรงเรียนวัดอุทัยธาราม,13.74958053,100.5695795
โรงเรียนมักกะสันพิทยา,13.74910879,100.552719
โรงเรียนอนุบาลสามเสน,13.78876038,100.5374338
โรงเรียนสามเสนวิทยาลัย,13.78456249,100.5336791
โรงเรียนวัดราชาธิวาส,13.77487197,100.5044563
โรงเรียนเจ้าพระยาวิทยาคม,13.67342872,100.5358781
โรงเรียนวัดด่าน,13.67244093,100.5406509
โรงเรียนแจงร้อนวิทยา,13.67536825,100.5189182
โรงเรียนมัธยมวัดนายโรง,13.77507672,100.4720884
โรงเรียนทีปังกรวิทยาพัฒน์(วัดน้อยใน),13.79187394,100.4657285
โรงเรียนมหรรณพาราม,13.77781373,100.4465055
โรงเรียนไชยฉิมพลีวิทยาคม,13.73544074,100.4333088
โรงเรียนบางมดวิทยา(สีสุกหวาดจวนอุปถัมภ์),13.68109698,100.4652713
โรงเรียนมัธยมวัดสิงห์,13.68510464,100.4462885
โรงเรียนราชวินิตประถมบางแค,13.71627643,100.4223928
โรงเรียนดอนเมืองทหารอากาศบำรุง,13.93133708,100.6058632
โรงเรียนสีกัน (วัฒนานันท์อุปถัมภ์),13.92451739,100.5941378
โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี)2,13.81445146,100.6553386
โรงเรียนรัตนโกสินทร์สมโภชลาดกระบัง,13.75940296,100.7306459
โรงเรียนบางกะปิ,13.77144358,100.6515028
โรงเรียนนวมินทราชินูทิศ บดินทรเดชา,13.79181151,100.6059494
โรงเรียนวชิรธรรมสาธิต,13.69130133,100.6330169
โรงเรียนอนุบาลพิบูลเวศม์,13.720669,100.5928438
โรงเรียนสิริรัตนาธร,13.67577443,100.6244609
โรงเรียนราชวินิตบางเขน,13.85846278,100.5544605
โรงเรียนโยธินบูรณะ2(สุวรรณสุทธาราม),13.8334569,100.5291609
โรงเรียนพิบูลอุปถัมภ์,13.79702347,100.5884124
โรงเรียนจันทร์หุ่นบำเพ็ญ,13.77927541,100.5848891
โรงเรียนเตรียมอุดมศึกษาน้อมเกล้ากุนนที,13.7823201,100.5724429
โรงเรียนเตรียมอุดมศึกษาพัฒนาการ รัชดา,13.77306998,100.5743416
โรงเรียนพิบูลประชาสรรค์,13.76366893,100.5501702
โรงเรียนโยธินบูรณะ,13.79667647,100.5203656
โรงเรียนวัดน้อยนพคุณ,13.78445427,100.5205362
โรงเรียนเศรษฐเสถียร ในพระราชูปถัมภ์,13.78200019,100.5227122
โรงเรียนทีปังกรวิทยาพัฒน์(วัดโบสถ์),13.78230853,100.5108206
โรงเรียนสันติราษฎร์วิทยาลัย,13.75798551,100.5324701
โรงเรียนศรีอยุธยา ในพระอุปถัมภ์ฯ,13.75837979,100.5388257
โรงเรียนมัธยมวัดมกุฏกษัตริย์,13.76466615,100.5074705
โรงเรียนมัธยมวัดเบญจมบพิตร,13.76593562,100.5127222
โรงเรียนราชวินิต มัธยม,13.7625514,100.5147627
โรงเรียนราชวินิต,13.77190595,100.5075909
โรงเรียนวัดสังเวช,13.76416941,100.4970265
โรงเรียนมัธยมวัดธาตุทอง,13.72062525,100.5855948
โรงเรียนดาราคาม,13.71837206,100.5831573
โรงเรียนปทุมคงคา,13.71818547,100.5812422
โรงเรียนสายน้ำทิพย์,13.72792192,100.5654317
โรงเรียนสายน้ำผึ้ง ในพระอุปถัมภ์ฯ,13.72717081,100.5641415
โรงเรียนประถมนนทรี,13.71265583,100.5523589
โรงเรียนโสตศึกษาทุ่งมหาเมฆ,13.71588197,100.5351367
โรงเรียนบางปะกอกวิทยาคม,13.68359792,100.4945188
โรงเรียนมัธยมวัดดุสิตาราม,13.76321444,100.4890396
โรงเรียนโฆสิตสโมสร,13.75314806,100.4854526
โรงเรียนวัดอมรินทราราม,13.75915403,100.4833265
โรงเรียนประถมทวีธาภิเศก,13.74469063,100.4878683
โรงเรียนสตรีวัดระฆัง,13.7518683,100.4863138
โรงเรียนทวีธาภิเศก,13.74570731,100.4826593
โรงเรียนพระตำหนักสวนกุหลาบ,13.74806604,100.4917457
โรงเรียนอุบลรัตนราชกัญญาราชวิทยาลัย,13.74519081,100.4586132
โรงเรียนมัธยมวัดดาวคนอง,13.69531881,100.4875664
โรงเรียนวัดนวลนรดิศ,13.72383592,100.4668214
โรงเรียนวัดนาคปรก,13.71731262,100.4662724
โรงเรียนวัดหนัง,13.70435474,100.4654523
โรงเรียนอนุบาลวัดนางนอง,13.70416453,100.4670414
โรงเรียนวัดราชโอรส,13.70286491,100.4636402
โรงเรียนจันทร์ประดิษฐารามวิทยาคม,13.7166114,100.4425794
โรงเรียนวัดรางบัว,13.71103465,100.4393554
โรงเรียนอิสลามวิทยาลัยแห่งประเทศไทย,13.6379922,100.5022543
โรงเรียนราชวินิตบางแคปานขำ,13.72335739,100.3788469
โรงเรียนปัญญาวรคุณ,13.69325204,100.3922251
โรงเรียนศีลาจารพิพัฒน์,13.81693456,100.5289328
โรงเรียนวัดเวตวันธรรมาวาส,13.81666794,100.5296525
โรงเรียนพญาไท,13.75965242,100.5289669
โรงเรียนเตรียมอุดมศึกษา,13.74040534,100.5308115
โรงเรียนพุทธจักรวิทยา,13.73057058,100.5293515
โรงเรียนวัดโสมนัส,13.76149944,100.5108997
โรงเรียนวัดสระเกศ,13.75324058,100.508914
โรงเรียนวัดบวรนิเวศ,13.75879732,100.5019214
โรงเรียนสตรีวิทยา,13.75819717,100.5010205
โรงเรียนวัดชนะสงคราม,13.76022287,100.4949299
โรงเรียนเทพศิรินทร์,13.74741074,100.5161911
โรงเรียนสายปัญญา ในพระราชินูปถัมภ์,13.74321363,100.5151839
โรงเรียนไตรมิตรวิทยาลัย,13.73853976,100.5137946
โรงเรียนวัดราชบพิธ,13.7451262,100.4950653
โรงเรียนสวนกุหลาบวิทยาลัย,13.74285634,100.4982041
โรงเรียนวัดประยุรวงศาวาส,13.73711936,100.4947186
โรงเรียนศึกษานารี,13.73510853,100.4953901
โรงเรียนทุ่งมหาเมฆ,13.71404244,100.5300396
โรงเรียนยานนาเวศวิทยาคม,13.70319744,100.528222
โรงเรียนสตรีศรีสุริโยทัย,13.7154327,100.515662
โรงเรียนวัดสุทธิวราราม,13.71279816,100.5119006
โรงเรียนวัดบวรมงคล,13.77670908,100.4937214
โรงเรียนสุวรรณารามวิทยาคม,13.76239921,100.4758007
โรงเรียนวัดหงส์รัตนาราม,13.74036814,100.4866389
โรงเรียนวัดสังข์กระจาย (แจ่มวิชาสอน),13.73197625,100.4856798
โรงเรียนสวนอนันต์,13.75166057,100.4757519
โรงเรียนชิโนรสวิทยาลัย,13.74822493,100.4788745
โรงเรียนวัดเจ้ามูล,13.73691856,100.4724879
โรงเรียนวัดอินทาราม,13.7227558,100.4826999
โรงเรียนฤทธิณรงค์รอน,13.73025964,100.4855303
โรงเรียนวัดประดู่ในทรงธรรม,13.7248153,100.470859
โรงเรียนเบญจมราชาลัย ในพระราชอุปถัมภ์,13.75095838,100.5022135
โรงเรียนวัดชัยชนะสงคราม (วัดตึก),13.74406795,100.5055725
โรงเรียนอนุบาลวัดปรินายก,13.75760911,100.5055481
โรงเรียนวัดพลับพลาชัย,13.74606885,100.5124374
โรงเรียนมหาวีรานุวัตร,13.73816587,100.5143285
โรงเรียนราชนันทาจารย์ สามเสนวิทยาลัย2,13.8160148,100.5415805
โรงเรียนสตรีวัดมหาพฤฒาราม ในพระบรมราชินู,13.73249684,100.5160212
โรงเรียนฤทธิยะวรรณาลัย 2,13.91375418,100.6253033
โรงเรียนสตรีวัดอัปสรสวรรค์,13.7210159,100.469809
โรงเรียนธนบุรีวรเทพีพลารักษ์,13.72154249,100.4754895
โรงเรียนวัดช่างเหล็ก,13.7736919,100.4541379
โรงเรียนสุวรรณพลับพลาพิทยาคม,13.75578898,100.4487746
โรงเรียนบางบัว (เพ่งตั้งตรงจิตรวิทยาคาร),13.85680142,100.5851821
โรงเรียนสุขุมนวพันธ์อุปถัมภ์,13.78711248,100.6682226
โรงเรียนสวนกุหลาบวิทยาลัย ธนบุรี,13.62637215,100.4543322
โรงเรียนเตรียมอุดมศึกษาพัฒนาการสุวรรณภูม,13.77700802,100.7640104
โรงเรียนเตรียมอุดมศึกษา สุวินทวงศ์,13.79367116,100.8601177
โรงเรียนวัดใหม่อมตรส,13.78115363,100.4792294
โรงเรียนวัดหนองจอก (ภักดีนรเศรษฐ),13.85712466,100.8603072
โรงเรียนสุเหร่าหะยีมินา,13.8552929,100.869413
โรงเรียนสุเหร่าบ้านเกาะ,13.87430959,100.8833949
