name,lat,lng
สถาบันเทคโนโลยีปทุมวัน,13.74798403,100.5258303
มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก วิทยาเขตอุเทนถวาย,13.74200495,100.5308682
จุฬาลงกรณ์มหาวิทยาลัย,13.73858685,100.5310679
มหาวิทยาลัยราชภัฏจันทรเกษม,13.82010442,100.5765348
มหาวิทยาลัยราชภัฏธนบุรี,13.73432672,100.4916403
มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,13.73249139,100.4901954
มหาวิทยาลัยราชภัฏพระนคร,13.87902456,100.5899405
มหาวิทยาลัยสวนดุสิต,13.77559437,100.5104815
มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร(วิทยาเขตเทเวศร์),13.77067916,100.5042167
มหาวิทยาลัยราชภัฏสวนสุนันทา,13.77723537,100.5096875
มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร(วิทยาเขตพณิชยการพระนคร),13.76199326,100.5143892
มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร(วิทยาเขตชุมพรเขตอุดมศักดิ์),13.76139827,100.5141265
มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร(วิทยาเขตโชติเวช),13.77276689,100.5027966
มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,13.71426109,100.5385009
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์(วิทยาเขตเพาะช่าง),13.7445344,100.4987419
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์(วิทยาเขตบพิตรพิมุข จักรวรรดิ),13.74207282,100.5021846
มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร(วิทยาเขตพระนครเหนือ),13.81850633,100.5130609
มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก(วิทยาเขตจักรพงษ์ภูวนารถ),13.77838743,100.5569074
มหาวิทยาลัยรามคำแหง 1 (วิทยาหัวหมาก),13.75681942,100.6187119
มหาวิทยาลัยรามคำแหง 2 (วิทยาเขตบางนา),13.6674504,100.6839317
มหาวิทยาลัยเกษตรศาสตร์ (บางเขน),13.84593902,100.567939
มหาวิทยาลัยธรรมศาสตร์,13.75665901,100.4908384
มหาวิทยาลัยศิลปากร,13.75335422,100.4902349
มหาวิทยาลัยศรีนครินทรวิโรฒ,13.74451486,100.5659025
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี (วิทยาเขตบางมด),13.64884662,100.4935972
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,13.81937392,100.5145558
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,13.72953674,100.7793813
สถาบันบัณฑิตพัฒนบริหารศาสตร์,13.76877123,100.6523811
มหาวิทยาลัยอัสสัมชัญ,13.75423737,100.6278487
มหาวิทยาลัยกรุงเทพ,13.7115463,100.5819373
มหาวิทยาลัยธุรกิจบัณฑิตย์,13.87062026,100.5502116
มหาวิทยาลัยเกษมบัณฑิต (วิทยาเขตพัฒนาการ),13.7394914,100.6270071
มหาวิทยาลัยเกษมบัณฑิต (วิทยาเขตร่มเกล้า),13.80238904,100.7359011
มหาวิทยาลัยเกริก,13.8732382,100.5998561
มหาวิทยาลัยเทคโนโลยีมหานคร,13.84341944,100.8560451
มหาวิทยาลัยรัตนบัณฑิต,13.77930395,100.6384908
มหาวิทยาลัยเซนต์จอห์น,13.81086455,100.5612758
มหาวิทยาลัยสยาม,13.71928799,100.4532289
มหาวิทยาลัยเอเชียอาคเนย์,13.7071419,100.3555907
มหาวิทยาลัยศรีปทุม (วิทยาลัยเขตบางเขน),13.85525545,100.5852272
มหาวิทยาลัยหอการค้าไทย,13.77928989,100.5599931
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี (วิทยาเขตบางขุนเทียน),13.57718789,100.4401985
มหาวิทยาลัยธนบุรี,13.71592437,100.3464686
มหาวิทยาลัยกรุงเทพธนบุรี,13.76714605,100.346234
วิทยาลัยเซ็นหลุยส์,13.71855244,100.5242901
วิทยาลัยทองสุข,13.78614281,100.3989984
วิทยาลัยเทคโนโลยีสยาม,13.73816299,100.4714785
วิทยาลัยเซาธ์อีสท์บางกอก,13.67520639,100.6020312
วิทยาลัยดุสิตธานี,13.69789508,100.6487137
มหาวิทยาลัยนอร์ทกรุงเทพ,13.89409317,100.6160061
สถาบันรัชต์ภาคย์,13.76166968,100.6040698
มหาวิทยาลัยกรุงเทพสุวรรณภูมิ,13.72478121,100.803244
สถาบันเทคโนโลยีไทย-ญี่ปุ่น,13.73817038,100.6285791
สถาบันอาศรมศิลป์,13.65586893,100.4650229
สถาบันบัณฑิตศึกษาจุฬาภรณ์,13.88220438,100.5790816
มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ (วิทยาเขตยศเส),13.75150205,100.5152927
มหาวิทยาลัยนานาชาติเอเชีย-แปซิฟิก (วิทยาเขตกรุงเทพฯ),13.75793403,100.5188852
มหาวิทยาลัยศรีปทุม (วิทยาเขตพญาไท),13.77127651,100.5406394
วิทยาลัยนานาชาติเซนต์เทเรซา (วิทยาเขตสุรวงศ์),13.72703019,100.5230133
สถาบันเทคโนโลยีจิตรลดา,13.76716907,100.5149959
สถาบันการพยาบาลศรีสวรินทิรา สภากาชาดไทย,13.73169785,100.5341485
สถาบันดนตรีกัลยาณิวัฒนา,13.76849666,100.4944831
