id,Name,lat,long
1,@ City Sukhumvit 101/1,13.6851257,100.6144266
2,125 SATHORN,13.7225918,100.5337768
3,15 Suite,13.745824,100.5587234
4,15 Sukhumvit Residences,13.7419708,100.5583206
5,168 Sukhumvit 36,13.7169748,100.5762937
6,185 Rajadamri,13.7353925,100.5392841
7,28 Chidlom,13.746691,100.5441112
8,33 Tower,13.7357903,100.5683309
9,333 Riverside,13.8068134,100.5195996
10,39 by Sansiri,13.7317672,100.5704219
11,39 Suites,13.73669,100.5743684
12,49 Plus,13.730524,100.5756169
13,49 Suite,13.72948769,100.5760757
14,59 Heritage,13.7244706,100.5818074
15,624 Condolette Ladprao,13.7665252,100.6492301
16,98 Wireless,13.7416703,100.5470702
17,A Pool Condo Bangna,13.6643381,100.6316794
18,A Space Asoke - Ratchada,13.7583127,100.5599078
19,A Space Hideaway Asoke - RatchadaÕ“§“√ XYZ,13.7575601,100.5611707
20,A Space I.D. Asoke - Ratchada,13.7568124,100.5598535
21,A Space Kaset - Nawamin,13.8328517,100.6164662
22,A Space Me Sukhumvit 77,13.7132434,100.6346902
23,Ables Ladprao 27,13.8045746,100.578495
24,THE LINE Phahonyothin Park,13.8176812,100.565001
25,Abstracts Sukhumvit 66 / 1,13.6797525,100.6071463
26,Acadamia Grand Tower,13.7293937,100.5729278
27,Aequa Sukhumvit 49,13.7276583,100.575469
28,AESTIQ Thonglor,13.7381181,100.584166
29,Aguston Sukhumvit 22,13.7251898,100.5646731
30,Airborne Place,13.9149474,100.5885965
31,Airlink Residence,13.7363594,100.7446371
32,All Seasons Mansion,13.7395274,100.5484397
33,Altitude Define,13.7319102,100.52622
34,Altitude Symphony Charoenkrung - Sathorn,13.7099361,100.5139942
35,Amanta Lumpini,13.7230199,100.5511665
36,Amanta Ratchada,13.7660786,100.5681513
37,Amaranta Residence,13.7794113,100.5759438
38,Anantara Baan Rajprasong,13.7388116,100.541253
39,Anil Sathorn 12,13.7210586,100.5257929
40,Apool Condo,13.6643381,100.6316794
41,Arden Phatthanakan,13.7312591,100.6064688
42,Aree Place Phahonyothin,13.7806789,100.5433195
43,Aree Place Sukhumvit 26,13.7244768,100.5709547
44,Areesamphan Park,13.7733826,100.5381515
45,Art @ Thonglor 25,13.7400765,100.580918
46,Artemis Sukhumvit 77,13.711005,100.6045884
47,Artisan Ratchada,13.7691431,100.5827871
48,Asakan Place Srinakarindra,13.7345528,100.641608
49,Ascott Sathorn,13.7206495,100.5283001
50,Ashton Asoke,13.7387832,100.5610713
51,Ashton Chula - Silom,13.7312985,100.5310158
52,Ashton Morph 38,13.72086444,100.578918
53,Ashton Silom,13.7262582,100.5268935
54,Asoke Place,13.7416567,100.5621259
55,Asoke Tower,13.745377,100.5624318
