name,Latitude, Longitude
MBK Center ศูนย์การค้า เอ็ม บี เค เซ็นเตอร์,13.7447542,100.529956
สยามดิสคัฟเวอรี่ (Siam Discovery),13.7468291,100.5313447
สยามเซ็นเตอร์ (Siam Center),13.7462793,100.5326779
สยามพารากอน (Siam Paragon),13.7461302,100.5347792
สยามสแควร์วัน (Siam Square One),13.7447505,100.5338589
สยามสแควร์ (Siam Square),13.7446395,100.5329147
สยาม สเคป (Siam Scape),13.745417,100.531944
เซ็นทรัลเวิลด์ (Central World),13.7465337,100.5391488
เกษรวิลเลจ (Gaysorn Village) และ เกษรทาวเวอร์,13.7459416,100.5409275
เกษรอัมรินทร์ (Gaysorn Amarin),13.7439979,100.5413947
เอราวัณ แบงค็อก (Erawan Bangkok),13.743631,100.5406107
เซ็นทรัล ชิดลม,13.7440648,100.5443437
เซ็นทรัล เอ็มบาสซี,13.7437483,100.5465903
เดอะ เมอร์คิวรี่ วิลล์ แอท ชิดลม,13.7434454,100.5441462
แพลทินัม แฟชั่น มอลล์,13.7502216,100.5395103
เดอะพาลาเดียม เวิลด์ ช้อปปิ้ง,13.7501971,100.5422412
อินทราสแควร์,13.7533402,100.5413372
เทอร์มินอล 21 อโศก,13.7379635,100.5604058
โรบินสัน สุขุมวิท,13.7379627,100.5595224
อาคารไทม์สแควร์ (Times Square),13.7377647,100.558792
เอ็มโพเรียม (Emporium),13.730063,100.5688425
เอ็มควอเทียร์ (EmQuartier),13.7312253,100.5694763
เอ็มสเฟียร์ (Emsphere),13.7322349,100.5662949
เจ อเวนิว ทองหล่อ (J Avenue),13.734005,100.582453
เดอะ คอมมอนส์ ทองหล่อ (The Commons),13.735467,100.582662
มาร์เช่ ทองหล่อ (Marche Thonglor),13.7283702,100.5811107
ดองกิ มอลล์ ทองหล่อ (Donki Mall),13.7307234,100.5857841
The 49 Terrace,13.7321129,100.5761096
เกทเวย์ เอกมัย (Gateway Ekamai),13.7188994,100.5853477
มาร์เก็ตเพลส เอกมัย,13.7265629,100.5854887
พาร์ค เลน เอกมัย (Park Lane),13.725833,100.584925
แอทเอกมัย (At Ekkamai),13.7332818,100.5870187
เซ็นทรัล พระราม 9,13.7585954,100.5661774
ฟอร์จูนทาวน์,13.758033,100.5651416
เอสพลานาด รัชดาภิเษก,13.7663792,100.5695224
เดอะ สตรีท รัชดา,13.7705118,100.5722782
บราโว บีเคเค (Bravo BKK),13.7507492,100.5723185
โชว์ ดีซี (Show DC),13.750742,100.570747
ไนติงเกล-โอลิมปิค (Nightingale-Olympic),13.744383,100.500366
ดิโอลด์สยามพลาซ่า,13.7456817,100.5000172
ไชน่า เวิลด์ (China World),13.744498,100.50157
เมก้า พลาซ่า สะพานเหล็ก,13.7452187,100.5024664
อินเดียเอ็มโพเรียม,13.7436705,100.5015225
ไอคอนสยาม (ICONSIAM),13.72669,100.510498
ไอซีเอส (ICS),13.7262704,100.5082479
ริเวอร์ ซิตี้ แบงค็อก,13.730419,100.513369
เสนาเฟสท์ (Sena Fest),13.7192489,100.5080261
ริเวอร์ไซด์ พลาซ่า,13.7051555,100.4908465
แพลทฟอร์ม วงเวียนใหญ่,13.726207,100.493202
เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,13.713345,100.4789953
เซ็นทรัล ลาดพร้าว,13.8171644,100.5615702
ยูเนี่ยน มอลล์,13.813872,100.561278
เกทเวย์ แอท บางซื่อ,13.8061529,100.524103
มาร์เก็ตเพลส วงศ์สว่าง,13.8270245,100.5279363
แฟชั่นไอส์แลนด์,13.825006,100.679164
เดอะ พรอมานาด,13.826725,100.67756
เซ็นทรัล รามอินทรา,13.87163,100.601362
อมอรินี่ รามอินทรา,13.816654,100.697488
เมกาบางนา (Mega Bangna),13.64656,100.68028
เซ็นทรัล บางนา,13.668418,100.634432
ซีคอนสแควร์ ศรีนครินทร์,13.694269,100.648074
พาราไดซ์ พาร์ค,13.687295,100.648356
โรบินสัน ไลฟ์สไตล์ ลาดกระบัง,13.718698,100.775249
เดอะ พาซิโอ มอลล์ ลาดกระบัง,13.722421,100.727042
ลิตเติ้ล วอล์ค ลาดกระบัง,13.721915,100.725338
เซ็นทรัล พระราม 2,13.663395,100.438031
เดอะ ไบรท์ พระราม 2,13.667844,100.441829
เดอะเซอร์เคิล ราชพฤกษ์,13.767811,100.4429555
ดีไซน์ วิลเลจ พุทธมณฑล,13.784405,100.364438
Green Place (กรีนเพลส),13.7024924,100.5221812
Vanilla Moon (วานิลลา มูน),13.708304,100.52187
Tree on 3 (ทรี ออน ธรี),13.6911609,100.5045726
The Explace Mall (ดิ เอ็กซ์เพลส มอลล์),13.696112,100.406981
Kurve 7 (เคิร์ฟ 7),13.746033,100.661127
Ease Park (อีส พาร์ค),13.858348,100.627618
Nihonmura Mall,13.7341656,100.5797183
Coop Market,13.7206986,100.5841641
ตั้่งฮั่วเส็ง (บางลำพู),13.7612651,100.4975445
ตั้่งฮั่วเส็ง (ธนบุรี/T-Square),13.782436,100.47881
ตลาดโบ๊เบ๊ทาวเวอร์,13.7541025,100.5151927
One Bangkok,13.725262,100.5473325
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
