"name","district","sale_price","asking_price","asking_price_change_quater","asking_price_change_year","gross_rental_yield","rental_price_change_year","bedrooms","bathrooms","internal_area","floors","towers","year_built","has_elevator","has_parking","has_security","has_cctv","has_pool","has_sauna","has_gym","has_garden_bbq","has_playground","has_shop_on_premise","has_restaurant_on_premise","has_wifi","city_train_distance","express_way_distance","close_city_train","close_express_way"
"J Condo Sathorn - Kallaprapruk","Bang Bon",1390000.0,57995.0,0.0,1.11,5.5,11.3,1.0,1.0,30.0,25.0,1.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6600.0,6200.0,0.0,0.0
"J Condo Sathorn - Kallaprapruk","Bang Bon",1390000.0,57995.0,0.0,1.11,5.5,11.3,1.0,1.0,31.0,25.0,1.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6600.0,6200.0,0.0,0.0
"J Condo Sathorn - Kallaprapruk","Bang Bon",1290000.0,57995.0,0.0,1.11,5.5,11.3,1.0,1.0,31.0,25.0,1.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6600.0,6200.0,0.0,0.0
"J Condo Sathorn - Kallaprapruk","Bang Bon",1500000.0,57995.0,0.0,1.11,5.5,11.3,1.0,1.0,30.0,25.0,1.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6600.0,6200.0,0.0,0.0
"J Condo Sathorn - Kallaprapruk","Bang Bon",1390000.0,57995.0,0.0,1.11,5.5,11.3,1.0,1.0,30.0,25.0,1.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6600.0,6200.0,0.0,0.0
"J Condo Sathorn - Kallaprapruk","Bang Bon",1250000.0,57995.0,0.0,1.11,5.5,11.3,1.0,1.0,30.0,25.0,1.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6600.0,6200.0,0.0,0.0
"J Condo Sathorn - Kallaprapruk","Bang Bon",1390000.0,57995.0,0.0,1.11,5.5,11.3,1.0,1.0,30.0,25.0,1.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6600.0,6200.0,0.0,0.0
"J Condo Sathorn - Kallaprapruk","Bang Bon",1350000.0,57995.0,0.0,1.11,5.5,11.3,1.0,1.0,30.0,25.0,1.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6600.0,6200.0,0.0,0.0
"J Condo Sathorn - Kallaprapruk","Bang Bon",1240000.0,57995.0,0.0,1.11,5.5,11.3,1.0,1.0,30.0,25.0,1.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6600.0,6200.0,0.0,0.0
"J Condo Sathorn - Kallaprapruk","Bang Bon",1250000.0,57995.0,0.0,1.11,5.5,11.3,1.0,1.0,30.0,25.0,1.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6600.0,6200.0,0.0,0.0
