,id,Name,lat,long,source_fil,clinic_200m,convenience_store_200m,school_200m,university_200m,gov_service_200m,Hospital_200m,mall_200m,night_club_200m,public_park_200m,restaurant_200m,supermarket_200m,Airport_200m,E_railway_200m,railway_200m,clinic_500m,convenience_store_500m,school_500m,university_500m,gov_service_500m,Hospital_500m,mall_500m,night_club_500m,public_park_500m,restaurant_500m,supermarket_500m,Airport_500m,E_railway_500m,railway_500m,clinic_1000m,convenience_store_1000m,school_1000m,university_1000m,gov_service_1000m,Hospital_1000m,mall_1000m,night_club_1000m,public_park_1000m,restaurant_1000m,supermarket_1000m,Airport_1000m,E_railway_1000m,railway_1000m
0,1,@ City Sukhumvit 101/1,13.6851257,100.6144266,id_1.shp,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,4,2,0,0,0,0,0,0,4,0,0,0,0
1,10,39 by Sansiri,13.7317672,100.5704219,id_10.shp,1,4,0,0,0,0,1,0,0,6,1,0,0,0,1,6,0,0,0,0,2,12,1,28,1,0,0,0,5,21,6,0,0,1,1,24,0,105,4,0,0,0
2,100,Baan Prida,13.7384886,100.556278,id_100.shp,0,2,0,0,0,0,0,8,0,13,0,0,0,0,1,13,0,0,0,0,3,48,0,62,2,0,0,0,4,45,2,0,0,2,0,54,1,123,2,0,0,0
3,1000,Siamese Sukhumvit 87,13.70053129,100.6039695,id_1000.shp,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,4,3,0,1,0,0,0,0,1,0,0,0,0,0,7,0,0,0,1,0,3,0,4,3,0,0,0
4,1001,Siamese Surawong,13.7300326,100.527984,id_1001.shp,0,4,1,0,0,0,0,1,0,8,0,0,0,0,5,12,1,0,1,1,0,19,1,75,6,0,0,0,15,29,7,3,0,2,0,18,0,149,5,0,0,0
5,1002,Siamese Thirty Nine,13.73917122,100.572749,id_1002.shp,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,3,0,12,1,0,0,0,0,15,4,1,0,1,3,18,0,69,3,0,0,0
6,1003,Silk Phaholyothin 9,13.78624332,100.5433661,id_1003.shp,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4,0,0,0,2,0,0,0,24,1,0,0,0,4,13,5,0,1,2,0,3,0,37,1,0,0,0
7,1004,Silk Place,13.8786296,100.597996,id_1004.shp,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,0,1,0,0,0,1,0,0,0
8,1005,Silk Sanampao,13.7744018,100.5416337,id_1005.shp,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,5,0,0,0,0,3,3,1,0,1,0,0,2,0,44,1,0,0,0
9,1006,Silom City Resort,13.72403569,100.5323192,id_1006.shp,1,0,0,0,0,0,0,0,0,6,1,0,0,0,4,10,1,0,0,2,0,12,0,49,2,0,0,0,9,30,8,1,0,2,0,28,1,133,4,0,0,0
10,1007,Silom Condominuim,13.72778144,100.5347476,id_1007.shp,1,5,0,0,0,0,0,5,0,27,3,0,0,0,7,13,1,1,0,2,0,20,0,55,3,0,0,0,6,16,3,0,0,1,0,12,2,119,3,0,0,0
11,1008,Silom Grand Terrace,13.72770427,100.5359684,id_1008.shp,7,5,0,0,0,0,0,5,0,21,2,0,0,0,1,10,1,1,0,1,0,13,0,58,3,0,0,0,6,18,3,0,0,2,0,18,2,83,3,0,0,0
12,1009,Silom State Tower,13.7214837,100.5168931,id_1009.shp,0,3,1,0,0,1,0,1,0,9,0,0,0,0,0,6,5,0,0,1,0,5,0,22,2,0,0,0,2,18,13,2,0,1,2,5,0,50,1,0,0,0
13,101,Baan Prompong,13.7429803,100.5720958,id_101.shp,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,15,5,1,0,0,2,10,0,45,1,0,0,0
14,1010,Silom Suite,13.72180344,100.5263884,id_1010.shp,0,3,1,0,0,0,0,0,0,8,0,0,0,0,4,3,5,1,0,1,0,8,0,42,0,0,0,0,3,26,7,1,0,4,0,18,0,75,4,0,0,0
15,1011,Silom Surawong,13.72795618,100.5289708,id_1011.shp,0,2,0,0,0,0,0,8,0,21,1,0,0,0,5,14,3,0,0,1,0,21,1,61,2,0,0,0,15,31,5,2,1,2,0,11,0,156,8,0,0,0
16,1012,Silom Terrace,13.7271501,100.5345793,id_1012.shp,1,3,1,0,0,0,0,4,0,15,2,0,0,0,7,14,0,1,0,2,0,21,0,69,4,0,0,0,6,16,4,0,0,1,0,15,2,101,3,0,0,0
17,1013,Silver Heritage,13.71860329,100.5792722,id_1013.shp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,6,0,0,0,0,4,15,7,1,0,2,3,7,0,70,4,0,0,0
18,1014,Sindhorn Lumpini,13.73447715,100.5418543,id_1014.shp,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,18,2,0,0,0,11,14,2,1,0,2,0,18,0,84,5,0,0,0
19,1015,Sindhorn Residence,13.73875955,100.5440586,id_1015.shp,0,0,0,0,0,0,0,0,0,13,1,0,0,0,2,5,0,0,0,0,0,6,0,22,2,0,0,0,4,7,3,0,0,1,7,16,1,75,3,0,0,0
20,1016,Sindhorn Tonson,13.73439446,100.5445788,id_1016.shp,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,1,22,1,0,0,0,4,7,3,0,0,1,1,15,0,81,3,0,0,0
