name,district,lat,long,sale_price,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year,bedrooms,bathrooms,internal_area,floors,towers,year_built,has_elevator,has_parking,has_security,has_cctv,has_pool,has_sauna,has_gym,has_garden_bbq,has_playground,has_shop_on_premise,has_restaurant_on_premise,has_wifi,city_train_distance,express_way_distance,close_city_train,close_express_way
The President Sukhumvit,Phra Khanong,13.5847686,100.6090876,4190000.0,114054.0,0.0,-1.8,4.5,-4.1,1.0,1.0,33.5,20.0,2.0,2013.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,200.0,1300.0,1.0,0.0
The President Sukhumvit,Phra Khanong,13.5847686,100.6090876,4400000.0,114054.0,0.0,-1.8,4.5,-4.1,1.0,1.0,35.0,20.0,2.0,2013.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,200.0,1300.0,1.0,0.0
The President Sukhumvit,Phra Khanong,13.5847686,100.6090876,4200000.0,114054.0,0.0,-1.8,4.5,-4.1,1.0,1.0,34.8,20.0,2.0,2013.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,200.0,1300.0,1.0,0.0
The President Sukhumvit,Phra Khanong,13.5847686,100.6090876,4100000.0,114054.0,0.0,-1.8,4.5,-4.1,1.0,1.0,40.0,20.0,2.0,2013.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,200.0,1300.0,1.0,0.0
The President Sukhumvit,Phra Khanong,13.5847686,100.6090876,4250000.0,114054.0,0.0,-1.8,4.5,-4.1,1.0,1.0,35.0,20.0,2.0,2013.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,200.0,1300.0,1.0,0.0
The Wellington,Bang Kapi,13.6054428,100.6118511,3900000.0,48001.0,0.0,-4.0,5.9,1.7,2.0,2.0,76.8,7.0,1.0,2009.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9300.0,4600.0,0.0,0.0
The Wellington,Bang Kapi,13.6054428,100.6118511,5000000.0,48001.0,0.0,-4.0,5.9,1.7,2.0,1.0,76.8,7.0,1.0,2009.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9300.0,4600.0,0.0,0.0
The Wellington,Bang Kapi,13.6054428,100.6118511,4050000.0,48001.0,0.0,-4.0,5.9,1.7,1.0,1.0,71.8,7.0,1.0,2009.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9300.0,4600.0,0.0,0.0
Suan Thon Park Condo,Thung Khru,13.65250352,100.4878251,1650000.0,23042.0,0.0,0.0,5.4,0.0,2.0,1.0,56.0,12.0,1.0,1997.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8700.0,5000.0,0.0,0.0
Bliz Condominium Bearing,Bang Kapi,13.652586,100.6055407,1700000.0,58977.0,0.0,0.0,4.3,0.0,1.0,1.0,44.0,8.0,1.0,2012.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1400.0,3400.0,0.0,0.0
Bliz Condominium Bearing,Bang Kapi,13.652586,100.6055407,1500000.0,58977.0,0.0,0.0,4.3,0.0,1.0,1.0,30.0,8.0,1.0,2012.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1400.0,3400.0,0.0,0.0
Origins Rama 2,Chom Thong,13.6541566,100.4238971,1550000.0,48384.0,0.0,0.0,4.5,0.0,1.0,1.0,28.0,8.0,2.0,2015.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5800.0,6100.0,0.0,0.0
Origins Rama 2,Chom Thong,13.6541566,100.4238971,1187000.0,48384.0,0.0,0.0,4.5,0.0,1.0,1.0,30.0,8.0,2.0,2015.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5800.0,6100.0,0.0,0.0
